sample,race,shannon_wiener_index,normalized_shannon_wiener_index,simpson_index,inverse_simpson_index,gini_simpson_index,D50_index,chao1,chao1_SD,gini_coefficient
SRR5812618,European,13104.679196475814,0.8474642514452252,0.0005779507511633709,1730.251233322348,0.9994220492488366,2.9571456273026953,75308.35918457789,112.09945756991962,0.7704782705627555
SRR5812619,European,52844.87845211461,0.83791546674345,0.00327747052174919,305.11334682159054,0.9967225294782508,7.044204635183621,488135.71135426644,451.9842467406168,0.6163205621738505
SRR5812620,European,1782.276216375071,0.6292945123076474,0.013028613495315299,76.75413814060646,0.9869713865046847,0.03206527671651566,159263.72195904088,207.26872434643553,0.8189424912725098
SRR5812621,European,117678.83137273365,0.9336832189097142,0.00014266291893943596,7009.529928548044,0.9998573370810606,13.50951483959004,310555.463099631,590.1564613488553,0.6113344832927075
SRR5812622,European,188636.56019113137,0.9452318985281778,3.527903565419009e-05,28345.44599807478,0.9999647209643459,15.629949755069072,407738.6458392999,293.1196148342233,0.5106338747099101
SRR5812623,European,25412.840458903003,0.8575344014090672,0.0026236350387541427,381.1505736235552,0.9973763649612458,10.334838855608496,151270.4007134364,369.261279841394,0.6161153664172241
SRR5812624,European,51108.93630168436,0.9112541206673943,0.00044976063904529916,2223.404880699846,0.9995502393609547,9.979579334286298,176643.41129032258,572.2213278373395,0.6631638079118334
SRR5812625,European,140483.80002896034,0.9483931818541356,1.8525408512872282e-05,53979.916248818765,0.9999814745914871,14.851000735752729,336008.5331242769,698.8816113583541,0.5784639731020038
SRR5812626,European,68601.99834269371,0.8624187622846248,0.009480947836616491,105.47468641667736,0.9905190521633835,12.34459486127008,449622.08661564963,396.5219662076593,0.5454445497842838
SRR5812627,European,233.13087940181563,0.5225255434174965,0.042178573773514916,23.708720104422483,0.957821426226485,0.05299105040037683,43171.94903685727,229.8591740073673,0.9543457089605387
SRR5812628,European,128207.61937484785,0.9402070057375592,0.0008748459413370627,1143.0583977696224,0.999125154058663,16.514438873834294,342994.5359386473,615.1113018518575,0.489662523714312
SRR5812629,European,88002.86536275473,0.9128716153504725,0.000755701871590244,1323.273155187075,0.9992442981284098,14.971173160372295,296308.485203575,590.1882919814052,0.5516332980291755
SRR5812630,European,4680.40195459647,0.9062010572268205,0.003355158367195287,298.0485242596583,0.9966448416328048,19.697104677060135,11661.510204081633,71.65683400060333,0.46153718934908916
SRR5812631,European,13017.197062850079,0.9686284253295546,0.00013676961645683934,7311.565433215732,0.9998632303835432,26.232195342527696,18309.280991735537,88.84970110652455,0.3740627928896377
SRR5812632,European,80709.19161724302,0.9342199034612864,7.926867432073875e-05,12615.323878809639,0.9999207313256793,11.672864532364043,208091.193964022,414.0356366811188,0.6151710159634647
SRR5812633,European,6.410073871648814,0.2751000035386593,0.36477728455309955,2.7413987721991306,0.6352227154469005,,899.0,26.30826866215259,0.9380352965620135
