sample,race,clonotype_count,mean_frequency,geomean_frequency,reads_count,mean_cdr3nt_length,convergence
SRR5812671,European,186005,5.3761995645277074e-06,2.134713509090419e-06,2280089.0,42.734413875948555,1.065564848762603
SRR7993460,African,19434,5.145621076463782e-05,6.795207445856449e-06,11782506.0,43.16332977042282,1.0177000418935902
SRR7993475,African,53646,1.8640718786115793e-05,4.094639303931387e-06,6587247.0,42.81523844482996,1.0354571599529039
SRR7993481,African,5571,0.00017950098725541796,4.816723679452946e-06,14694740.0,43.452652581805296,1.0173484295105917
SRR7993494,African,85692,1.166970078887152e-05,5.693920676680121e-06,2793400.0,42.93877675950361,1.0580304227578032
SRR7993461,African,29702,3.3667766480369674e-05,9.302967448944893e-06,10984598.0,43.116520695611406,1.018063410454156
SRR7993496,African,60693,1.6476364654902238e-05,1.0266261210682724e-05,1689118.0,42.87561911009098,1.0407963782282128
SRR7993469,African,79526,1.2574503935819055e-05,2.4953592349930093e-06,8717844.0,42.700818918069636,1.0438400756044417
SRR7993491,African,42544,2.3505077096651748e-05,5.873194300898926e-06,11402911.0,43.32463885756685,1.026913514687779
SRR7993498,African,72269,1.3837191603591737e-05,7.475584720988012e-06,1464172.0,43.53924607218153,1.0418805143878669
SRR7993482,African,26329,3.798093357134448e-05,3.1713503028790493e-06,18962131.0,42.73449118139424,1.023399541337894
SRR7993479,African,19691,5.078462241632929e-05,5.175522122604985e-07,12013776.0,43.08447136020928,1.0252525252525253
SRR7993493,African,40084,2.494761001895879e-05,4.8365797899439994e-06,15955239.0,42.8929197488024,1.0274787244950272
SRR7993504,African,68377,1.4624800737089547e-05,8.07376482718186e-06,1653439.0,42.80236646165841,1.0439236641221374
SRR7993476,African,27015,3.7016472330184993e-05,4.926674013539668e-06,12312840.0,42.948319153011994,1.025548553640574
SRR7993470,African,101112,9.890022944852746e-06,2.5563468813095013e-06,7349463.0,43.37916620574649,1.0521759037649066
SRR7993471,African,115473,8.660033081326015e-06,2.6504935959172537e-06,6419383.0,43.18180890593201,1.0549429466740972
SRR7993492,African,20999,4.7621315300726266e-05,1.1282224541319333e-05,8095211.0,42.77345766527677,1.0213024658333738
SRR7993432,African,57858,1.728369456254931e-05,6.308431338654475e-06,4506234.0,43.54715822569261,1.0330678855836875
SRR7993495,African,31201,3.20502547995236e-05,1.2881535241488076e-05,2022353.0,42.8244233326202,1.0530205872426595
SRR7993480,African,20120,4.9701789264409516e-05,5.517967793321989e-06,16482861.0,43.10290300937091,1.0227734851565677
SRR7993462,African,55996,1.7858418458460138e-05,4.125722875427712e-06,7726436.0,42.75902563613785,1.0363296503988304
SRR7993477,African,33240,3.0084235860408067e-05,1.811619263561694e-06,14593284.0,42.9543757251608,1.0276704281960118
SRR7993478,African,4697,0.0002129018522461089,2.0050454813191806e-06,12159306.0,43.872170665002265,1.0235345391152757
SRR7993430,African,53979,1.8525722966338285e-05,5.39236603275612e-06,6873483.0,43.489363252952295,1.033348010031204
SRR7993446,African,85972,1.1631694039919693e-05,2.029036189932019e-06,10296961.0,44.04770057883963,1.0421606419860838
SRR7993521,African,85554,1.1688524206933426e-05,4.099845777821592e-06,4590193.0,43.52694189547073,1.0344227211723311
SRR7993436,African,38141,2.621850502084274e-05,1.0144123393244746e-05,3767586.0,43.224529977549,1.0296412277623304
SRR7993431,African,35935,2.7828022818976633e-05,6.599826152490024e-06,5864010.0,43.54463276835835,1.0271544947834785
SRR7993459,African,32409,3.0855626523494545e-05,1.1121046167845603e-05,9877958.0,43.16639684031581,1.0186704384724186
SRR7993435,African,93856,1.0654619843163677e-05,3.1738566962365914e-06,7657526.0,43.32939254793128,1.0501723134762566
